date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:12	11820/11820	---M--	200	added ('OK')	image/png	etag:%221781f1b-2e2c-5fc7df4ef7a80%22	https://www.wisecrypto.co/assets/images/portfolio/p14.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p14.png	(from https://www.wisecrypto.co/)
23:02:13	12755/12755	---M--	200	added ('OK')	image/png	etag:%221781f1f-31d3-5fc7df65db080%22	https://www.wisecrypto.co/assets/images/portfolio/p15.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p15.png	(from https://www.wisecrypto.co/)
23:02:14	6736/6736	---M--	200	added ('OK')	image/png	etag:%221781f3f-1a50-5fc7e02c38480%22	https://www.wisecrypto.co/assets/images/portfolio/p16-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p16-1.png	(from https://www.wisecrypto.co/)
23:02:16	6916/6916	---M--	200	added ('OK')	image/png	etag:%221781f29-1b04-5fc7e01fd2740%22	https://www.wisecrypto.co/assets/images/portfolio/p16.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p16.png	(from https://www.wisecrypto.co/)
23:02:17	6781/6781	---M--	200	added ('OK')	image/png	etag:%221781f9f-1a7d-6041f3875b780%22	https://www.wisecrypto.co/assets/images/portfolio/p41-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p41-1.png	(from https://www.wisecrypto.co/)
23:02:18	7853/7853	---M--	200	added ('OK')	image/png	etag:%221781f61-1ead-6041f3753ccc0%22	https://www.wisecrypto.co/assets/images/portfolio/p41.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p41.png	(from https://www.wisecrypto.co/)
23:02:19	28647/28647	---M--	200	added ('OK')	image/png	etag:%221781f27-6fe7-5fc7e0dabe040%22	https://www.wisecrypto.co/assets/images/portfolio/p17.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p17.png	(from https://www.wisecrypto.co/)
23:02:23	4315/4315	---M--	200	added ('OK')	image/png	etag:%221781f49-10db-5fc7e113f6740%22	https://www.wisecrypto.co/assets/images/portfolio/p18-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p18-1.png	(from https://www.wisecrypto.co/)
23:02:23	4315/4315	---M--	200	added ('OK')	image/png	etag:%221781f7b-10db-5fc7e105a8580%22	https://www.wisecrypto.co/assets/images/portfolio/p18.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p18.png	(from https://www.wisecrypto.co/)
23:02:24	7729/7729	---M--	200	added ('OK')	image/png	etag:%221781f75-1e31-5fc7e13cf8800%22	https://www.wisecrypto.co/assets/images/portfolio/p19-1.png	C:/My%20Web%20Sites/BigemCalls/www.wisecrypto.co/assets/images/portfolio/p19-1.png	(from https://www.wisecrypto.co/)
